time (s),vertical,horizontal,axial
0.00484375,-1.69929,13.4511,30.4476
0.00488281,-2.11805,14.1388,31.4583
0.00492188,-2.58627,14.7248,32.4262
0.00496094,-3.06167,15.1604,33.3165
0.005,-3.53128,15.5203,34.094
0.00503906,-4.02746,15.963,34.7382
0.00507813,-4.58422,16.5532,35.2633
0.00511719,-5.21108,17.1708,35.6841
0.00515625,-5.90962,17.6577,35.9858
0.00519531,-6.6768,18.0102,36.1715
0.00523438,-7.48918,18.3452,36.2736
0.00527344,-8.31067,18.7104,36.3146
0.0053125,-9.10409,19.0483,36.2979
0.00535156,-9.82182,19.3422,36.2189
0.00539063,-10.4206,19.6596,36.0598
0.00542969,-10.8913,20.037,35.7956
0.00546875,-11.258,20.426,35.4312
0.00550781,-11.5632,20.7568,34.9978
0.00554687,-11.8505,21.01,34.5121
0.00558594,-12.1291,21.2007,33.9739
0.005625,-12.3531,21.3187,33.3848
0.00566406,-12.4755,21.3609,32.7464
0.00570312,-12.5057,21.3873,32.0502
0.00574219,-12.4873,21.4802,31.2937
0.00578125,-12.4529,21.6803,30.504
0.00582031,-12.3981,21.9409,29.71
0.00585938,-12.3001,22.1271,28.9147
0.00589844,-12.1587,22.1479,28.1088
0.0059375,-11.9853,22.0698,27.2908
0.00597656,-11.788,22.0026,26.4745
0.00601563,-11.5786,21.9251,25.6638
0.00605469,-11.3595,21.7567,24.8408
0.00609375,-11.1311,21.5393,23.9983
0.00613281,-10.9031,21.4023,23.1403
0.00617188,-10.7013,21.3881,22.2657
0.00621094,-10.5903,21.4003,21.3728
0.00625,-10.63,21.3194,20.4529
0.00628906,-10.808,21.1244,19.4908
0.00632813,-11.0622,20.871,18.4805
0.00636719,-11.3455,20.6085,17.4249
0.00640625,-11.651,20.359,16.3193
0.00644531,-11.9891,20.1375,15.1552
0.00648438,-12.3618,19.9579,13.9442
0.00652344,-12.7632,19.7794,12.7083
0.0065625,-13.1834,19.5048,11.457
0.00660156,-13.6186,19.1192,10.1987
0.00664062,-14.0791,18.7648,8.9527
0.00667969,-14.568,18.5877,7.74422
0.00671875,-15.0732,18.5135,6.59168
0.00675781,-15.578,18.2884,5.48686
