frequency (Hz),vertical,horizontal,axial
229.688,0.0453495,0.0241152,0.0720924
231.25,0.0966076,0.0373485,0.139977
232.812,0.111143,0.0426612,0.174714
234.375,0.0660278,0.00893849,0.0938821
235.938,0.0728948,0.00512129,0.062366
237.5,0.0299718,0.0118936,0.0627138
239.062,0.0213077,0.0133487,0.0444093
240.625,0.0220416,0.0243528,0.117728
242.188,0.00632025,0.0190035,0.0837468
243.75,0.087778,0.0223863,0.106538
245.312,0.156,0.0287376,0.17089
246.875,0.085783,0.019778,0.113748
248.438,0.0317798,0.0226686,0.100025
250,0.0278339,0.0459243,0.189327
251.562,0.0168875,0.04037,0.160321
253.125,0.0110222,0.0106396,0.0436971
254.688,0.0162586,0.0228323,0.0932276
256.25,0.0313193,0.0227185,0.0884084
257.812,0.0282594,0.0392384,0.160414
259.375,0.0802131,0.0544831,0.269887
260.938,0.0406293,0.0624128,0.267231
262.5,0.0784958,0.0560811,0.23424
264.062,0.0504643,0.0216229,0.0838703
265.625,0.0176965,0.0340258,0.152381
267.188,0.0377987,0.0792733,0.303109
268.75,0.0514596,0.0999811,0.354963
270.312,0.0197107,0.0456182,0.196697
271.875,0.00684074,0.0214431,0.0977898
273.438,0.0108715,0.0294411,0.107011
275,0.00902212,0.0302048,0.123134
276.562,0.0110064,0.022079,0.0958595
278.125,0.0190271,0.0145827,0.0542397
279.688,0.0307689,0.024445,0.110873
281.25,0.0573552,0.0367949,0.156869
282.812,0.0567219,0.0230206,0.0867206
284.375,0.0246123,0.00870626,0.0341976
285.938,0.0101944,0.015449,0.0647195
287.5,0.0128746,0.00600358,0.0226264
289.062,0.0211449,0.0123575,0.0435987
290.625,0.0255432,0.0258681,0.0761113
292.188,0.0183293,0.017223,0.0574887
293.75,0.0220706,0.0210682,0.0611088
295.312,0.00882414,0.0114737,0.0398341
296.875,0.0269414,0.0191561,0.0678804
298.438,0.0733397,0.0793024,0.230685
300,0.0680871,0.0982196,0.281081
301.562,0.0135824,0.0302077,0.082595
303.125,0.00615498,0.00948092,0.0446241
304.688,0.00665312,0.00730216,0.0429454
306.25,0.0120423,0.00715515,0.041199
307.812,0.00951358,0.00806962,0.0419887
309.375,0.00196761,0.0124596,0.0506267
310.938,0.00447079,0.0078644,0.0286176
312.5,0.00660736,0.00994028,0.0409155
314.062,0.00743409,0.00689316,0.024679
315.625,0.0108975,0.00346498,0.0306853
317.188,0.0120861,0.0056904,0.0297881
318.75,0.0124351,0.00547636,0.0322149
320.312,0.0110281,0.00392673,0.0179984
321.875,0.0144457,0.00349945,0.0151999
323.438,0.0355685,0.00726683,0.0221001
325,0.0209235,0.00743809,0.0288127
326.562,0.0364061,0.00659526,0.0691854
328.125,0.0378025,0.0050969,0.0515013
329.688,0.0171284,0.00737857,0.0277969
331.25,0.00914107,0.00681609,0.0262067
332.812,0.0275402,0.00795544,0.0499686
334.375,0.0233474,0.00620367,0.0436971
335.938,0.00849623,0.00457069,0.0247707
337.5,0.00841331,0.00323561,0.0234983
339.062,0.00774089,0.00465658,0.0181826
340.625,0.023075,0.00611491,0.0183864
342.188,0.0269012,0.00531797,0.0192107
343.75,0.0114565,0.00259276,0.0129035
345.312,0.065601,0.00389558,0.0848886
346.875,0.214412,0.00617699,0.226774
348.438,0.17018,0.0076307,0.195501
350,0.0325396,0.00833749,0.0673841
351.562,0.0454674,0.00950036,0.038097
353.125,0.0262087,0.00616053,0.0352609
354.688,0.00956726,0.0060363,0.0214584
356.25,0.00589142,0.00271281,0.0155148
357.812,0.00956766,0.00403313,0.0203323
359.375,0.0158038,0.00504671,0.0323301
360.938,0.0287756,0.00570111,0.0370759
362.5,0.0231328,0.00376567,0.0342392
364.062,0.00650095,0.00158188,0.0206968
365.625,0.00896421,0.00636374,0.0299171
367.188,0.0118006,0.0113423,0.0355798
368.75,0.011789,0.00585906,0.0196909
370.312,0.0068384,0.00427135,0.0207992
371.875,0.0045328,0.00465062,0.017454
373.438,0.00651189,0.00497801,0.0182364
