time (s),vertical,horizontal,axial
0.00550781,-0.937115,0.833612,-1.32083
0.00554687,-0.939281,0.652331,-1.45449
0.00558594,-0.887932,0.50571,-1.59266
0.005625,-0.651097,0.271468,-1.71842
0.00566406,-0.354279,0.107429,-1.84777
0.00570312,-0.165809,0.187808,-2.01849
0.00574219,-0.0977236,0.45237,-2.16016
0.00578125,-0.0786127,0.745952,-2.19001
0.00582031,0.0122505,0.7658,-2.18045
0.00585938,0.15068,0.356056,-2.19469
0.00589844,0.241703,-0.0989599,-2.23399
0.0059375,0.320939,-0.161983,-2.2562
0.00597656,0.370082,-0.0442915,-2.22289
0.00601563,0.387018,-0.216953,-2.22527
0.00605469,0.424149,-0.520704,-2.28509
0.00609375,0.439096,-0.47457,-2.32516
0.00613281,0.42541,-0.102404,-2.36425
0.00617188,0.30565,0.164557,-2.4101
0.00621094,-0.0454838,0.0335541,-2.45765
0.00625,-0.47783,-0.323518,-2.54898
0.00628906,-0.763493,-0.56299,-2.67658
0.00632813,-0.872561,-0.629897,-2.79833
0.00636719,-0.912542,-0.612495,-2.91108
0.00640625,-0.984825,-0.563965,-3.05785
0.00644531,-1.07936,-0.467646,-3.21444
0.00648438,-1.16262,-0.347061,-3.30077
0.00652344,-1.22608,-0.463032,-3.34289
0.0065625,-1.25747,-0.850601,-3.3794
0.00660156,-1.30169,-1.04408,-3.37728
0.00664062,-1.38586,-0.689326,-3.3137
0.00667969,-1.44738,-0.120171,-3.17969
0.00671875,-1.46723,-0.154256,-3.02003
0.00675781,-1.44309,-0.909212,-2.92885
0.00679687,-1.30095,-1.369,-2.93308
0.00683594,-1.10225,-0.809401,-2.95785
0.006875,-0.968849,0.142199,-2.94423
0.00691406,-0.837034,0.317555,-2.94711
0.00695313,-0.723962,-0.388084,-2.99164
0.00699219,-0.67383,-0.926532,-3.01499
0.00703125,-0.482859,-0.786158,-3.02725
0.00707031,-0.0921854,-0.480608,-3.06194
0.00710938,0.271219,-0.406186,-3.05046
0.00714844,0.424943,-0.376511,-2.92368
0.0071875,0.365199,-0.202819,-2.73314
0.00722656,0.247861,-0.200252,-2.56222
0.00726563,0.235921,-0.621786,-2.42877
0.00730469,0.403973,-0.958985,-2.37013
0.00734375,0.639956,-0.648114,-2.3585
0.00738281,0.713322,0.0186061,-2.24947
0.00742188,0.645796,0.237109,-2.09022
0.00746094,0.569457,-0.233379,-2.03788
0.0075,0.511073,-0.679376,-2.04162
0.00753906,0.521729,-0.430989,-2.03517
0.00757812,0.524935,0.249603,-2.03447
0.00761719,0.392873,0.631729,-2.00588
0.00765625,0.130921,0.36499,-1.96451
0.00769531,-0.23916,-0.282603,-1.94257
0.00773437,-0.56719,-0.829301,-1.90312
0.00777344,-0.628521,-0.970791,-1.85921
0.0078125,-0.449285,-0.55304,-1.83704
0.00785156,-0.307895,0.27819,-1.78859
0.00789063,-0.412886,0.877682,-1.65888
0.00792969,-0.663332,0.679815,-1.43783
0.00796875,-0.906499,-0.0686682,-1.19303
0.00800781,-1.11427,-0.562371,-0.990979
0.00804688,-1.18226,-0.34762,-0.795919
0.00808594,-1.04222,0.223341,-0.576692
0.008125,-0.833276,0.470525,-0.367042
0.00816406,-0.743486,0.203853,-0.19331
0.00820313,-0.796968,-0.154844,-0.0403809
0.00824219,-0.874161,-0.22135,0.129167
0.00828125,-0.910459,-0.020103,0.306124
0.00832031,-0.82455,0.308104,0.477312
0.00835938,-0.572774,0.611684,0.683583
0.00839844,-0.414769,0.600997,0.920566
0.0084375,-0.515595,0.217139,1.1582
0.00847656,-0.606753,-0.152814,1.40679
0.00851563,-0.451697,-0.165439,1.65414
0.00855469,-0.11453,0.168425,1.86893
0.00859375,0.249205,0.583238,2.0222
0.00863281,0.510213,0.753974,2.08934
0.00867188,0.555956,0.602025,2.0921
0.00871094,0.324916,0.383973,2.08899
0.00875,-0.0547973,0.392405,2.1236
0.00878906,-0.236377,0.621439,2.17252
0.00882813,0.01226,0.803936,2.17689
0.00886719,0.494997,0.744441,2.14898
0.00890625,0.775217,0.481118,2.13236
0.00894531,0.659426,0.257162,2.12723
0.00898438,0.393318,0.305751,2.17378
0.00902344,0.258239,0.50892,2.3112
0.0090625,0.258602,0.571686,2.44503
0.00910156,0.381378,0.501515,2.50363
0.00914062,0.577443,0.450188,2.53433
0.00917969,0.653397,0.344727,2.54698
0.00921875,0.599018,0.211471,2.55215
0.00925781,0.448212,0.331457,2.59084
0.00929687,0.154999,0.623957,2.6386
0.00933594,-0.0291477,0.65672,2.64667
0.009375,0.0858481,0.357932,2.5503
0.00941406,0.2376,0.0845804,2.36849
0.00945312,0.225201,0.121445,2.22445
0.00949219,0.10641,0.277681,2.09656
0.00953125,-0.04044,0.175769,1.94897
0.00957031,-0.115023,-0.114379,1.86939
0.00960937,-0.0258198,-0.304047,1.83917
0.00964844,0.203711,-0.376155,1.80673
0.0096875,0.396624,-0.421441,1.77142
